hospital_key,hospital_register_num,hospital_name,hospital_category,hospital_si,hospital_gu,hospital_dong,hospital_ceo,hospital_address,hospital_nation
BE_LiST21-0357,937,상내과의원,의원,서울특별시,양천구,신정2동,상화춘,서울특별시 양천구 신정2동 128-113 현승빌딩 2층 상내과의원,
BE_LiST21-0358,944,밝은안과의원,의원,서울특별시,중구,소공동,황우식,서울특별시 중구 태평로2가 340-6 대한일보빌딩 702호,
BE_LiST21-0359,954,하늘땅한의원,한의원,서울특별시,동대문구,답십리1동,장동민,서울특별시 동대문구 답십리동 494-2 우창프라자 2층,
BE_LiST21-0360,956,의료법인마리아의료재단마리아병원,병원,서울특별시,동대문구,용신동,임환철,서울특별시 동대문구 신설동 103-11,
BE_LiST21-0361,961,메디힐,의원,서울특별시,강남구,청담동,김원우,서울특별시 강남구선릉로158길 16 다현빌딩2층(청담동),
BE_LiST21-0362,964,보스톤치과의원,치과의원,서울특별시,종로구,종로1.2.3.4가동,박원정,서울특별시 종로구 관철동 32-4  7층,
BE_LiST21-0363,965,포미즈여성병원,병원,서울특별시,양천구,목2동,정종일,서울특별시 양천구 목동 513,
BE_LiST21-0364,966,비앤빛강남밝은세상안과의원,의원,서울특별시,서초구,서초4동,김진국,서울특별시 서초구 서초동 1317-20 아라타워 14층,
BE_LiST21-0366,972,21세기병원,병원,서울특별시,중랑구,묵1동,최재영,서울특별시 중랑구 묵동 180-55 2-4층,"러시아,몽골,베트남,"
BE_LiST21-0367,973,목동리더스피부과의원,의원,서울특별시,양천구,목1동,이득표,서울특별시 양천구 목1동 962 트라팰리스 이스턴에비뉴동 7층,
BE_LiST21-0368,975,지앤미리더스피부과,의원,서울특별시,양천구,목1동,신장현,서울특별시 양천구 목동 916 현대백화점 지하3층,태국
BE_LiST21-0369,982,모나리자치과,치과의원,서울특별시,송파구,잠실4동,신경민,서울특별시 송파구 신천동 17-6 크로바상가 3층,
BE_LiST21-0370,984,더와이즈황병원,병원,서울특별시,강서구,화곡본동,황세영,서울특별시 강서구 화곡동 114-12,
BE_LiST21-0371,988,인제대학교부속서울백병원,종합병원,서울특별시,중구,을지로동,백낙환,서울특별시 중구 저동2가 85,
BE_LiST21-0372,990,신촌리더스병원,병원,서울특별시,마포구,서강동,배은환,서울특별시 마포구 창전동 13-3,
